FeedbackID,CustomerID,TicketDate,IssueType,SatisfactionScore,AgentID,Comments
F1000,C1123,6/10/2025,Excellent Support,1,E112,Unhappy with product
F1001,C1183,6/30/2024,No Response,5,E106,Great service
F1002,C1150,1/13/2024,Wrong Item,2,E100,Great service
F1003,C1044,9/26/2024,Damaged Product,5,E113,Unhappy with product
F1004,C1068,4/23/2024,Damaged Product,3,E101,
F1005,C1149,4/13/2024,Excellent Support,1,E104,
F1006,C1110,8/17/2024,Wrong Item,5,E105,Unhappy with product
F1007,C1126,2/8/2025,Wrong Item,4,E106,Delayed response
F1008,C1176,12/22/2024,No Response,4,E104,
F1009,C1160,7/29/2025,Damaged Product,5,E102,Unhappy with product
F1010,C1104,10/14/2025,Excellent Support,3,E102,Delayed response
F1011,C1037,6/17/2024,Wrong Item,3,E110,
F1012,C1016,4/23/2025,Excellent Support,2,E106,Great service
F1013,C1167,5/2/2024,Wrong Item,4,E104,Delayed response
F1014,C1084,12/28/2024,Wrong Item,4,E113,Great service
F1015,C1150,2/1/2024,Damaged Product,5,E101,Resolved quickly
F1016,C1090,10/10/2024,Damaged Product,1,E114,Great service
F1017,C1096,10/23/2025,Wrong Item,5,E114,Resolved quickly
F1018,C1098,5/10/2024,No Response,2,E112,Resolved quickly
F1019,C1043,8/1/2025,Wrong Item,4,E102,Great service
F1020,C1000,9/7/2025,No Response,3,E112,Great service
F1021,C1154,7/13/2025,No Response,2,E101,Delayed response
F1022,C1161,1/31/2024,No Response,5,E110,Great service
F1023,C1168,9/24/2025,Damaged Product,5,E110,Unhappy with product
F1024,C1175,11/3/2025,Wrong Item,1,E113,Resolved quickly
F1025,C1083,2/21/2024,Excellent Support,3,E109,Great service
F1026,C1054,7/4/2025,No Response,3,E109,Unhappy with product
F1027,C1096,6/4/2025,Wrong Item,2,E102,Resolved quickly
F1028,C1098,11/17/2024,Damaged Product,5,E114,Great service
F1029,C1000,12/28/2024,Wrong Item,5,E113,Unhappy with product
F1030,C1025,9/11/2025,No Response,1,E111,
F1031,C1175,4/21/2025,Wrong Item,3,E111,Great service
F1032,C1026,8/21/2024,No Response,3,E109,Unhappy with product
F1033,C1154,5/8/2024,Excellent Support,4,E109,Delayed response
F1034,C1018,6/7/2025,Excellent Support,1,E112,
F1035,C1174,9/12/2025,Damaged Product,4,E105,Resolved quickly
F1036,C1182,6/26/2024,Late Delivery,2,E108,Delayed response
F1037,C1096,6/2/2025,Wrong Item,3,E113,
F1038,C1066,8/21/2025,No Response,3,E107,Resolved quickly
F1039,C1153,7/18/2025,Damaged Product,1,E100,Great service
F1040,C1149,9/3/2024,Damaged Product,2,E102,Resolved quickly
F1041,C1037,2/5/2024,Damaged Product,2,E104,
F1042,C1097,5/9/2025,Wrong Item,1,E107,Unhappy with product
F1043,C1046,10/21/2024,Damaged Product,1,E102,Resolved quickly
F1044,C1095,5/28/2025,Late Delivery,3,E100,Resolved quickly
F1045,C1143,4/10/2025,Damaged Product,3,E105,Delayed response
F1046,C1010,12/24/2025,Damaged Product,4,E109,
F1047,C1111,9/30/2024,Wrong Item,5,E114,
F1048,C1114,12/30/2024,No Response,1,E114,Resolved quickly
F1049,C1039,5/11/2025,Late Delivery,4,E114,Great service
F1050,C1004,6/1/2025,Excellent Support,2,E102,Great service
F1051,C1146,5/22/2025,Excellent Support,3,E107,
F1052,C1149,5/1/2024,Excellent Support,2,E110,
F1053,C1199,10/25/2024,No Response,2,E102,Great service
F1054,C1115,4/5/2024,Wrong Item,4,E107,Resolved quickly
F1055,C1104,8/21/2025,Damaged Product,2,E113,Resolved quickly
F1056,C1080,8/21/2025,Damaged Product,3,E109,Delayed response
F1057,C1046,11/16/2025,No Response,2,E114,
F1058,C1032,2/19/2024,Damaged Product,3,E105,
F1059,C1127,12/25/2025,Late Delivery,3,E111,
F1060,C1087,11/23/2025,Wrong Item,4,E114,
F1061,C1091,9/17/2025,No Response,4,E107,Great service
F1062,C1146,2/28/2024,Late Delivery,1,E106,Unhappy with product
F1063,C1140,2/4/2025,Excellent Support,2,E104,Great service
F1064,C1141,11/6/2024,Damaged Product,4,E105,Resolved quickly
F1065,C1014,11/15/2024,Damaged Product,5,E103,Delayed response
F1066,C1027,4/18/2025,Excellent Support,2,E101,Delayed response
