OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,SalesPersonID,OrderStatus
O1000,5/2/2025,C1047,P1075,1,118.96,0.09,E105,Returned
O1001,8/16/2025,C1139,P1049,5,547.72,0.14,E108,Delivered
O1002,9/23/2025,C1030,P1029,2,1040.18,0.15,E103,Delivered
O1003,7/29/2025,C1052,P1005,1,835.47,0.16,E109,Pending
O1004,12/8/2025,C1053,P1005,2,862.11,0.07,E106,Delivered
O1005,5/19/2024,C1182,P1022,4,1291.71,0.14,E105,Delivered
O1006,2/18/2024,C1177,P1050,2,630.62,0.19,E112,Pending
O1007,3/17/2025,C1082,P1087,1,1298.2,0.02,E112,Delivered
O1008,9/27/2025,C1176,P1003,2,607.61,0.06,E112,Returned
O1009,5/22/2024,C1181,P1098,1,785.36,0.18,E106,Delivered
O1010,8/6/2025,C1175,P1012,3,514.7,0.03,E112,Returned
O1011,8/29/2025,C1098,P1013,3,1002.5,0.1,E111,Delivered
O1012,4/2/2024,C1080,P1086,4,1007.37,0.08,E105,Pending
O1013,8/23/2024,C1142,P1080,3,1182.58,0.05,E109,Delivered
O1014,7/5/2025,C1127,P1037,2,1320.56,0.08,E108,Delivered
O1015,2/10/2024,C1055,P1054,4,1059.25,0.19,E104,Delivered
O1016,5/2/2024,C1096,P1012,4,899.18,0.02,E104,Delivered
O1017,7/9/2024,C1135,P1099,2,1408.14,0.15,E103,Delivered
O1018,2/18/2024,C1020,P1080,4,495.87,0.16,E106,Returned
O1019,10/28/2024,C1020,P1027,5,439.19,0.07,E105,Delivered
O1020,3/1/2024,C1160,P1013,2,564.47,0.11,E111,Delivered
O1021,11/6/2025,C1137,P1058,4,788.98,0.08,E104,Returned
O1022,4/11/2024,C1149,P1047,3,1205.54,0.16,E108,Returned
O1023,2/27/2024,C1197,P1073,2,672.4,0.16,E108,Returned
O1024,10/21/2024,C1064,P1006,2,656.51,0.03,E109,Returned
O1025,12/2/2025,C1171,P1073,5,1055.65,0.13,E110,Returned
O1026,5/23/2025,C1088,P1049,1,977.73,0.17,E100,Returned
O1027,1/6/2024,C1118,P1052,1,309.21,0.04,E110,Delivered
O1028,9/11/2024,C1161,P1042,1,334.79,0.01,E102,Pending
O1029,4/4/2025,C1168,P1048,3,847.42,0.12,E114,Returned
O1030,10/4/2025,C1026,P1087,5,226.74,0.11,E110,Delivered
O1031,4/7/2024,C1116,P1061,3,1371.68,0.02,E106,Pending
O1032,8/25/2024,C1004,P1010,2,764.69,0.16,E106,Pending
O1033,2/8/2025,C1043,P1069,1,1287.36,0.18,E114,Delivered
O1034,5/25/2024,C1077,P1079,2,743.62,0.12,E101,Returned
O1035,11/30/2024,C1090,P1055,5,1146.32,0.03,E101,Delivered
O1036,7/16/2025,C1121,P1094,4,1155.19,0.04,E103,Delivered
O1037,12/19/2025,C1171,P1077,5,931.42,0.06,E100,Pending
O1038,2/6/2025,C1001,P1099,1,978.54,0.08,E111,Delivered
O1039,9/6/2024,C1129,P1067,2,530.52,0.14,E105,Pending
O1040,9/14/2024,C1006,P1040,1,397.6,0.09,E109,Pending
O1041,10/27/2025,C1154,P1063,3,394.28,0.01,E112,Returned
O1042,11/24/2025,C1064,P1037,4,304.3,0.06,E102,Returned
O1043,1/20/2025,C1091,P1077,5,868.77,0.03,E108,Delivered
O1044,5/31/2025,C1069,P1071,4,832.02,0.15,E104,Pending
O1045,8/26/2024,C1185,P1100,3,446.54,0.1,E103,Pending
